,isomorfa,tensione_interna,tensione_esterna,differenza_tensioni
0.0,0.0,0.0,0.0,0.0
0.01,2.019801,2.0098000000000003,0.019803941080353712,1.9899960589196466
0.02,4.078415999999999,4.038399999999999,0.078462147928995,3.9599378520710045
0.03,6.174681,6.0846,0.174910180402328,5.909689819597672
0.04,8.307456,8.1472,0.30816675994596404,7.839033240054036
0.05,10.475625,10.225000000000001,0.4773282541395869,9.747671745860414
0.06,12.678096,12.3168,0.681563709226867,11.635236290773134
0.07,14.913801000000001,14.4214,0.9201103685357034,13.501289631464298
0.08,17.181696,16.5376,1.1922696225710232,15.345330377428978
0.09,19.480760999999998,18.6642,1.4974033433487972,17.166796656651204
0.1,21.810000000000002,20.8,1.8349305614005558,18.965069438599446
0.11,24.168441,22.9438,2.2043244489505303,20.73947555104947
0.12,26.555136,25.0944,2.6051095771685158,22.489290422831484
0.13,28.969161000000003,27.250600000000002,3.036859419228198,24.213740580771805
0.14,31.409616000000007,29.411200000000004,3.499194074235486,25.912005925764518
0.15,33.87562500000001,31.575000000000003,3.991778190003982,27.583221809996022
0.16,36.366336000000004,33.74080000000001,4.514319065204375,29.22648093479563
0.17,38.880921,35.9074,5.066564913651452,30.84083508634855
0.18,41.418575999999995,38.0736,5.648303275459683,32.42529672454032
0.19,43.978521,40.2382,6.259359561532351,33.97884043846765
0.2,46.56000000000001,42.400000000000006,6.89959571938169,35.50040428061831
0.21,49.16228099999999,44.5578,7.5689090096351785,36.98889099036482
0.22,51.784656000000005,46.7104,8.267230883789459,38.44316911621054
0.23,54.426441000000004,48.8566,8.994525954848113,39.862074045151886
0.24,57.086976,50.9952,9.750791053440539,41.24440894655946
0.25,59.765625,53.125,10.536054362880886,42.58894563711911
0.26,62.461776,55.244800000000005,11.350374627402152,43.89442537259785
0.27,65.174841,57.3534,12.193840428502211,45.15955957149779
0.28,67.904256,59.449600000000004,13.066569524976021,46.383030475023986
0.29,70.649481,61.53219999999999,13.968708252790151,47.56349174720984
0.3,73.40999999999998,63.59999999999999,14.90043098149033,48.699569018509656
0.31,76.18532099999999,65.6518,15.861939624326435,49.789860375673555
0.32,78.97497600000001,67.6864,16.853463199738915,50.832936800261095
0.33,81.778521,69.7026,17.875257442281526,51.82734255771848
0.34,84.59553600000001,71.6992,18.927604461462195,52.77159553853781
0.35000000000000003,87.42562500000003,73.67500000000001,20.010812447372462,53.66418755262755
0.36,90.268416,75.6288,21.12521542234946,54.50358457765054
0.37,93.123561,77.5594,22.271173038277748,55.288226961722245
0.38,95.99073600000001,79.46560000000001,23.449070419494777,56.016529580505235
0.39,98.869641,81.3462,24.659318051617475,56.68688194838252
0.4,101.76,83.2,25.9023517169615,57.2976482830385
0.41000000000000003,104.66156100000002,85.0258,27.178632477582994,57.84716752241701
0.42,107.57409600000001,86.8224,28.48864670733852,58.333753292661484
0.43,110.49740099999998,88.5886,29.832906174736166,58.75569382526383
0.44,113.43129599999999,90.32319999999999,31.211948178742045,59.11125182125794
0.45,116.375625,92.025,32.62633574011751,59.398664259882494
0.46,119.33025600000002,93.69280000000002,34.076657851295,59.616142148705016
0.47000000000000003,122.29508100000001,95.3254,35.56352978825989,59.76187021174011
0.48,125.27001599999998,96.92159999999998,37.0875934883968,59.834006511603185
0.49,128.255001,98.4802,38.64951799878561,59.830682001214385
0.5,131.25,100.0,40.25,59.75
0.51,134.255001,101.47980000000001,41.88976441107656,59.59003558892345
0.52,137.270016,102.91839999999999,43.56956508199049,59.3488349180095
0.53,140.295081,104.31459999999998,45.29018558070136,59.02441441929862
0.54,143.330256,105.66720000000001,47.05244008262866,58.61475991737135
0.55,146.375625,106.975,48.85717437128767,58.117825628712325
0.56,149.43129600000003,108.23680000000002,50.70526695977365,57.531533040226364
0.5700000000000001,152.49740100000002,109.45139999999999,52.597630343834524,56.85376965616547
0.58,155.574096,110.61760000000001,54.5352123984328,56.08238760156721
0.59,158.66156099999998,111.73419999999999,56.51899793097809,55.2152020690219
0.6,161.76000000000002,112.80000000000001,58.55001040582726,54.24998959417275
0.61,164.869641,113.81379999999999,60.6293138562174,53.184486143782586
0.62,167.990736,114.77440000000001,62.75801500153438,52.01638499846563
0.63,171.12356100000002,115.6806,64.93726558974913,50.74333441025087
0.64,174.268416,116.53119999999998,67.1682649869978,49.362935013002186
0.65,177.425625,117.32499999999999,69.45226303866751,47.87273696133248
0.66,180.595536,118.06079999999999,71.79056322900715,46.27023677099284
0.67,183.77852100000004,118.73740000000001,74.18452616924583,44.55287383075418
0.68,186.97497600000003,119.3536,76.63557344751098,42.71802655248902
0.6900000000000001,190.185321,119.90819999999998,79.14519187753555,40.76300812246443
0.7000000000000001,193.41000000000003,120.39999999999999,81.7149381872823,38.68506181271769
0.71,196.64948099999998,120.8278,84.34644419324782,36.48135580675218
0.72,199.904256,121.19040000000001,87.04142251140689,34.14897748859312
0.73,203.17484099999996,121.4866,89.80167286159354,31.68492713840645
0.74,206.461776,121.7152,92.62908902867395,29.08611097132605
0.75,209.765625,121.875,95.52566655124653,26.34933344875347
0.76,213.086976,121.96479999999998,98.4935112169208,23.47128878307919
0.77,216.42644099999998,121.9834,101.53484845260337,20.448551547396633
0.78,219.78465600000004,121.9296,104.65203370881386,17.277566291186133
0.79,223.162281,121.80220000000001,107.84756394902814,13.954636050971871
0.8,226.56,121.6,111.12409036860882,10.475909631391175
0.81,229.97852100000006,121.32180000000001,114.48443248325412,6.837367516745886
0.8200000000000001,233.41857600000003,120.96640000000001,117.93159374434983,3.0348062556501816
0.8300000000000001,236.88092100000003,120.53260000000002,121.46877885844647,-0.9361788584464534
0.84,240.36633599999993,120.0192,125.09941301066878,-5.0802130106687855
0.85,243.87562499999999,119.425,128.82716321760952,-9.402163217609527
0.86,247.40961599999997,118.74880000000002,132.65596206465455,-13.907162064654528
0.87,250.96916099999999,117.9894,136.59003411629655,-18.600634116296547
0.88,254.555136,117.14559999999999,140.63392532648632,-23.488325326486333
0.89,258.168441,116.21619999999997,144.79253582022255,-28.57633582022258
0.9,261.81,115.20000000000002,149.07115646831076,-33.871156468310744
0.91,265.4807610000001,114.09580000000001,153.4755097356037,-39.3797097356037
0.92,269.181696,112.90239999999999,158.01179535034794,-45.10939535034795
0.93,272.9138010000001,111.61860000000001,162.6867414200006,-51.068141420000586
0.9400000000000001,276.67809600000004,110.24319999999999,167.50766170883435,-57.26446170883436
0.9500000000000001,280.47562500000004,108.775,172.48251989693046,-63.70751989693045
0.96,284.307456,107.21279999999997,177.62000176128737,-70.4072017612874
0.97,288.174681,105.5554,182.92959636075346,-77.37419636075346
0.98,292.078416,103.80160000000001,188.42168747091583,-84.62008747091582
0.99,296.01980100000003,101.9502,194.10765670725644,-92.15745670725644
1.0,300.0,100.0,200.0,-100.0
